Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1
2686076345	Ga0133562_11103	 (R)-2-hydroxyisocaproate dehydrogenase	2684622913	Lactobacillus melliventris Lb_184	2
2686072827	Ga0133564_1178	 (R)-2-hydroxyisocaproate dehydrogenase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686078350	Ga0133561_1193	 (R)-2-hydroxyisocaproate dehydrogenase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686074729	Ga0133563_1165	 (R)-2-hydroxyisocaproate dehydrogenase	2684622912	Lactobacillus apis Lb_185	2
2686073232	Ga0133564_11491	 1,2-diacylglycerol 3-glucosyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686078747	Ga0133561_11498	 1,2-diacylglycerol 3-glucosyltransferase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686075030	Ga0133563_11373	 1,2-diacylglycerol 3-glucosyltransferase	2684622912	Lactobacillus apis Lb_185	2
2686076837	Ga0133562_12278	 1,2-diacylglycerol 3-glucosyltransferase	2684622913	Lactobacillus melliventris Lb_184	2
2686077464	Ga0133562_12913	 16S rRNA processing protein RimM	2684622913	Lactobacillus melliventris Lb_184	2
2686075597	Ga0133563_11949	 16S rRNA processing protein RimM	2684622912	Lactobacillus apis Lb_185	2
2686079953	Ga0133561_111721	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686074567	Ga0133564_111846	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686076174	Ga0133563_111534	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2684622912	Lactobacillus apis Lb_185	2
2686078168	Ga0133562_1371	 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	2684622913	Lactobacillus melliventris Lb_184	2
2686078913	Ga0133561_11666	 2-deoxy-D-gluconate 3-dehydrogenase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686079946	Ga0133561_111714	 2-keto-3-deoxy-phosphogluconate aldolase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686073034	Ga0133564_11289	 2-keto-3-deoxy-phosphogluconate aldolase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074555	Ga0133564_111834	 2-keto-3-deoxy-phosphogluconate aldolase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686076945	Ga0133562_12387	 23S rRNA m(5)U-1939 methyltransferase	2684622913	Lactobacillus melliventris Lb_184	2
2686078847	Ga0133561_11600	 23S rRNA m(5)U-1939 methyltransferase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686075148	Ga0133563_11493	 23S rRNA m(5)U-1939 methyltransferase	2684622912	Lactobacillus apis Lb_185	2
2686073350	Ga0133564_11611	 23S rRNA m(5)U-1939 methyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686072850	Ga0133564_11102	 3-dehydroquinate dehydratase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686078374	Ga0133561_11118	 3-dehydroquinate dehydratase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686076361	Ga0133562_11120	 3-dehydroquinate dehydratase	2684622913	Lactobacillus melliventris Lb_184	2
2686074233	Ga0133564_111508	 3-hexulose-6-phosphate isomerase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074234	Ga0133564_111509	 3-hexulose-6-phosphate synthase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686078843	Ga0133561_11596	 3-hydroxy-3-methylglutaryl-coenzyme A reductase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686075143	Ga0133563_11488	 3-hydroxy-3-methylglutaryl-coenzyme A reductase	2684622912	Lactobacillus apis Lb_185	2
2686076941	Ga0133562_12383	 3-hydroxy-3-methylglutaryl-coenzyme A reductase	2684622913	Lactobacillus melliventris Lb_184	2
2686073346	Ga0133564_11607	 3-hydroxy-3-methylglutaryl-coenzyme A reductase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074280	Ga0133564_111556	 3-hydroxyacyl-[acyl-carrier-protein] dehydratase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074283	Ga0133564_111559	 3-oxoacyl-[acyl-carrier-protein] reductase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686076852	Ga0133562_12294	 3-oxoacyl-[acyl-carrier-protein] reductase	2684622913	Lactobacillus melliventris Lb_184	2
2686074282	Ga0133564_111558	 3-oxoacyl-[acyl-carrier-protein] synthase II	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074259	Ga0133564_111535	 5'-methylthioribose kinase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686078568	Ga0133561_11315	 6,7-dimethyl-8-ribityllumazine synthase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686073014	Ga0133564_11269	 6,7-dimethyl-8-ribityllumazine synthase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686076557	Ga0133562_11319	 6,7-dimethyl-8-ribityllumazine synthase	2684622913	Lactobacillus melliventris Lb_184	2
2686075399	Ga0133563_11746	 6-phosphofructokinase	2684622912	Lactobacillus apis Lb_185	2
2686073650	Ga0133564_11913	 6-phosphofructokinase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686077249	Ga0133562_12693	 6-phosphofructokinase	2684622913	Lactobacillus melliventris Lb_184	2
2686079103	Ga0133561_11858	 6-phosphofructokinase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686078241	Ga0133562_13145	 6-phosphogluconate dehydrogenase (decarboxylating)	2684622913	Lactobacillus melliventris Lb_184	2
2686080021	Ga0133561_111789	 6-phosphogluconate dehydrogenase (decarboxylating)	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686074647	Ga0133564_111927	 6-phosphogluconate dehydrogenase (decarboxylating)	2684622911	Lactobacillus kullabergensis Lb_186	2
2686076235	Ga0133563_111595	 6-phosphogluconate dehydrogenase (decarboxylating)	2684622912	Lactobacillus apis Lb_185	2
2686074284	Ga0133564_111560	 [Acyl-carrier-protein] S-malonyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686077368	Ga0133562_12815	 [LSU ribosomal protein L11P]-lysine N-methyltransferase	2684622913	Lactobacillus melliventris Lb_184	2
2686073777	Ga0133564_111043	 [LSU ribosomal protein L11P]-lysine N-methyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686079216	Ga0133561_11974	 [LSU ribosomal protein L11P]-lysine N-methyltransferase	2684622914	Lactobacillus helsinborgensis Lb_183	2
2686075515	Ga0133563_11865	 [LSU ribosomal protein L11P]-lysine N-methyltransferase	2684622912	Lactobacillus apis Lb_185	2
2686074278	Ga0133564_111554	 acetyl-CoA carboxylase carboxyltransferase subunit alpha	2684622911	Lactobacillus kullabergensis Lb_186	2
2686074349	Ga0133564_111627	 acyl-phosphate glycerol-3-phosphate acyltransferase	2684622911	Lactobacillus kullabergensis Lb_186	2
2686075439	Ga0133563_11787	 acyl-phosphate glycerol-3-phosphate acyltransferase	2684622912	Lactobacillus apis Lb_185	2
2686077942	Ga0133562_121399	 acyl-phosphate glycerol-3-phosphate acyltransferase	2684622913	Lactobacillus melliventris Lb_184	2
